,PRODUCTS,RATINGS,PRICES
0,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
1,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
2,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
3,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
4,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
5,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
6,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
7,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
8,"Apple iPhone 11 (White, 128 GB)",4.7,69900
9,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
10,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
11,"Apple iPhone 11 (White, 64 GB)",4.7,64900
12,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
13,TECHSHIELD Edge To Edge Tempered Glass for Apple iPhone...,4.1,348
14,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
15,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
16,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
17,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
18,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
19,Techshield Edge To Edge Tempered Glass for iPhone 11,4.6,488
20,"Apple iPhone XR (Black, 128 GB)",4.6,54900
21,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
22,"Apple iPhone XR (White, 64 GB)",4.6,49900
23,Techshield Edge To Edge Tempered Glass for iPhone 11 pr...,4.3,288
24,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
25,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
26,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
27,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
28,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
29,Jabox Edge To Edge Tempered Glass for Apple iPhone 7,0,249
30,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
31,"Apple iPhone XR (White, 128 GB)",4.6,59999
32,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
33,RhinoShield Screen Guard for Apple iPhone 11 Pro,0,1299
34,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
35,"Apple iPhone XR (Black, 64 GB)",4.6,49900
36,"Apple iPhone X (Silver, 64 GB)",4.6,69999
37,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
38,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
39,"Sprig Tempered Glass Guard for Apple iPhone XS, Apple i...",0,399
40,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
41,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
42,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
43,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
44,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
45,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
46,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
47,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
48,"Apple iPhone 11 (White, 128 GB)",4.7,69900
49,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
50,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
51,"Apple iPhone 11 (White, 64 GB)",4.7,64900
52,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
53,TECHSHIELD Edge To Edge Tempered Glass for Apple iPhone...,4.1,348
54,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
55,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
56,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
57,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
58,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
59,Techshield Edge To Edge Tempered Glass for iPhone 11,4.6,488
60,"Apple iPhone XR (Black, 128 GB)",4.6,54900
61,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
62,"Apple iPhone XR (White, 64 GB)",4.6,49900
63,Techshield Edge To Edge Tempered Glass for iPhone 11 pr...,4.3,288
64,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
65,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
66,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
67,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
68,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
69,Jabox Edge To Edge Tempered Glass for Apple iPhone 7,0,249
70,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
71,"Apple iPhone XR (White, 128 GB)",4.6,59999
72,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
73,RhinoShield Screen Guard for Apple iPhone 11 Pro,0,1299
74,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
75,"Apple iPhone XR (Black, 64 GB)",4.6,49900
76,"Apple iPhone X (Silver, 64 GB)",4.6,69999
77,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
78,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
79,RhinoShield Tempered Glass Guard for Apple iPhone 11,3.7,1299
80,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
81,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
82,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
83,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
84,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
85,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
86,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
87,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
88,"Apple iPhone 11 (White, 128 GB)",4.7,69900
89,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
90,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
91,"Apple iPhone 11 (White, 64 GB)",4.7,64900
92,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
93,TECHSHIELD Edge To Edge Tempered Glass for Apple iPhone...,4.1,348
94,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
95,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
96,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
97,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
98,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
99,Techshield Edge To Edge Tempered Glass for iPhone 11,4.6,488
100,"Apple iPhone XR (Black, 128 GB)",4.6,54900
101,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
102,"Apple iPhone XR (White, 64 GB)",4.6,49900
103,Techshield Edge To Edge Tempered Glass for iPhone 11 pr...,4.3,288
104,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
105,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
106,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
107,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
108,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
109,Jabox Edge To Edge Tempered Glass for Apple iPhone 7,0,249
110,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
111,"Apple iPhone XR (White, 128 GB)",4.6,59999
112,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
113,RhinoShield Screen Guard for Apple iPhone 11 Pro,0,1299
114,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
115,"Apple iPhone XR (Black, 64 GB)",4.6,49900
116,"Apple iPhone X (Silver, 64 GB)",4.6,69999
117,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
118,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
119,"Sprig Tempered Glass Guard for Apple iPhone XS, Apple i...",0,399
120,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
121,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
122,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
123,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
124,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
125,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
126,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
127,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
128,"Apple iPhone 11 (White, 128 GB)",4.7,69900
129,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
130,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
131,"Apple iPhone 11 (White, 64 GB)",4.7,64900
132,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
133,TECHSHIELD Edge To Edge Tempered Glass for Apple iPhone...,4.1,348
134,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
135,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
136,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
137,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
138,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
139,Techshield Edge To Edge Tempered Glass for iPhone 11,4.6,488
140,"Apple iPhone XR (Black, 128 GB)",4.6,54900
141,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
142,"Apple iPhone XR (White, 64 GB)",4.6,49900
143,Techshield Edge To Edge Tempered Glass for iPhone 11 pr...,4.3,288
144,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
145,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
146,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
147,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
148,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
149,Jabox Edge To Edge Tempered Glass for Apple iPhone 7,0,249
150,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
151,"Apple iPhone XR (White, 128 GB)",4.6,59999
152,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
153,RhinoShield Screen Guard for Apple iPhone 11 Pro,0,1299
154,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
155,"Apple iPhone XR (Black, 64 GB)",4.6,49900
156,"Apple iPhone X (Silver, 64 GB)",4.6,69999
157,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
158,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
159,"Sprig Tempered Glass Guard for Apple iPhone XS, Apple i...",0,399
