,PRODUCTS,RATINGS,PRICE
0,"Apple iPhone 11 Pro (Silver, 64 GB)",4.7,999
1,"Apple iPhone XS (Space Grey, 512 GB)",4.7,1349
2,"Apple iPhone 8 Plus (Gold, 64 GB)",4.6,76
3,"Apple iPhone X (Space Gray, 64 GB)",4.6,69999
4,"Apple iPhone 11 Pro Max (Space Grey, 64 GB)",4.7,199
5,"Apple iPhone 6s (Silver, 32 GB)",4.5,27999
6,"Apple iPhone 8 Plus (PRODUCT)RED (Red, 256 GB)",4.6,5699
7,"Apple iPhone XR (Yellow, 64 GB)",4.6,62999
8,"Apple iPhone XR (Blue, 64 GB)",4.6,53999
9,"Apple iPhone 7 (Rose Gold, 128 GB)",4.5,44849
10,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,162
11,"Apple iPhone 7 (Black, 128 GB)",4.5,42849
12,"Apple iPhone 11 Pro Max (Midnight Green, 64 GB)",4.7,199
13,"Apple iPhone X (Space Gray, 256 GB)",4.6,69999
14,"Apple iPhone 8 Plus (PRODUCT)RED (Red, 64 GB)",4.6,499
15,"Apple iPhone 11 Pro (Space Grey, 64 GB)",4.7,999
16,"Apple iPhone 7 Plus (Black, 128 GB)",4.5,59199
17,"Apple iPhone 8 Plus (Space Grey, 64 GB)",4.6,499
18,"Apple iPhone XR (Black, 256 GB)",4.6,81
19,"Apple iPhone 6 (Gold, 32 GB)",4.4,378
20,"Apple iPhone 7 (Gold, 32 GB)",4.5,299
21,"Apple iPhone 7 (Rose Gold, 256 GB)",4.5,4499
22,Kavacha Edge To Edge Tempered Glass for Apple Iphone 11 Pro,4.3,299
23,"Apple iPhone 8 (Gold, 256 GB)",4.5,53999
24,"Apple iPhone 8 Plus (Gold, 256 GB)",4.6,649
25,"Apple iPhone 8 (Silver, 256 GB)",4.5,549
26,"Apple iPhone 6s (Rose Gold, 32 GB)",4.5,2799
27,"Apple iPhone 6s Plus (Space Grey, 16 GB)",4.4,399
28,"Apple iPhone XR (White, 256 GB)",4.6,82
29,"Apple iPhone 6s (Rose Gold, 64 GB)",4.5,32849
30,BlackBug Back Screen Guard for Apple iPhone SE,4.0,119
31,Kavacha Tempered Glass Guard for Apple iPhone 6 Plus Privacy Glass,0.0,399
32,BlackBug Back Screen Guard for Apple iPhone 6||Apple iPhone 6S,4.1,119
33,HARRAI Camera Lens Protector for Apple iPhone X,2.3,349
34,NitaiTech Edge To Edge Tempered Glass for Apple iPhone 8 Plus,3.8,149
35,CEDO XPRO Edge To Edge Tempered Glass for Apple iphone 11,0.0,199
36,FIRST IMPRESSION Front and Back Tempered Glass for Apple iPhone 8 Plus,3.7,199
37,FIRST IMPRESSION Front and Back Tempered Glass for Apple iPhone 8 Plus,0.0,198
38,"NitaiTech Edge To Edge Tempered Glass for Apple iPhone 6, Apple iPhone 6s",3.6,149
39,PR SMART Front and Back Tempered Glass for Apple iPhone 7 Plus,3.9,197
